id,date,HIC,well,scene,label,area,intensity_max-DAPI Class,row,column,chelation,media
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,39,2.9877571400000003,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,40,0.13860729,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,1,0.40042106,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,2,0.38502025,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,3,577.26856123,1.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,4,0.80084212,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,5,0.3080162,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,6,0.09240486,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,7,0.061603240000000004,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,8,2.95695552,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,9,0.24641296000000001,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,10,1.60168424,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,11,0.9240486000000001,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,12,0.015400810000000001,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,13,1.9251012500000002,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,14,0.60063159,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,15,0.44662349,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,16,3.9734089800000003,0.0,A,9,100uM DFO,NGM
