label_name,id,label,area,intensity_mean-nucleoli-labels,intensity_mean-conA,intensity_mean-MitoTDR,solidity
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,6,137.277184,9.61128526645768,540.6645768025078,691.8526645768025,0.9666666666666666
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,7,34.857216,4.197530864197531,535.0617283950618,452.85185185185185,0.9529411764705882
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,8,270.251008,5.912420382165605,285.4920382165605,393.8980891719745,0.9602446483180428
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,9,279.71840000000003,9.318461538461538,249.94615384615383,349.9907692307692,0.9774436090225564
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,10,309.84192,10.094444444444445,325.7736111111111,365.4194444444444,0.9742895805142082
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,11,250.88588800000002,4.0771869639794165,290.45969125214407,441.7152658662093,0.966832504145937
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,12,416.13491200000004,10.37435367114788,391.5873836608066,379.1809720785936,0.9650698602794411
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,13,432.05734400000006,16.318725099601593,348.43027888446215,401.23306772908364,0.9719264278799613
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,14,447.9797760000001,11.811719500480308,412.7780979827089,371.2084534101825,0.9638888888888889
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,15,268.96000000000004,14.1072,250.9248,348.7536,0.9659969088098918
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,16,268.099328,16.84430176565008,248.45104333868377,364.1139646869984,0.967391304347826
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,17,209.57363200000003,13.363449691991786,350.63449691991786,338.88501026694047,0.960552268244576
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,18,64.98073600000001,27.90728476821192,401.28476821192055,356.5364238410596,0.8830409356725147
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,19,248.73420800000002,15.283737024221454,342.636678200692,352.3269896193772,0.9747048903878583
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,20,250.88588800000002,16.825042881646656,359.63979416809605,358.15780445969125,0.9526143790849674
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,21,352.87552000000005,16.819512195121952,349.83780487804876,380.66341463414636,0.9773539928486293
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,22,441.5247360000001,21.483430799220272,393.9493177387914,343.59941520467834,0.9651928504233303
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,23,265.947648,19.889967637540455,381.7378640776699,371.0906148867314,0.9611197511664075
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,24,240.55782400000004,15.044722719141324,237.32915921288014,368.8479427549195,0.9555555555555556
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,25,169.122048,35.74554707379135,449.4503816793893,420.09923664122135,0.9727722772277227
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,26,223.34438400000002,26.053949903660886,365.91329479768785,357.73217726396916,0.9522935779816514
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,27,207.85228800000002,11.639751552795031,259.343685300207,410.40372670807454,0.9564356435643564
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,28,274.554368,15.923197492163009,256.05329153605015,340.86206896551727,0.9565217391304347
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,29,5.164032000000001,135.5,603.5,374.5,1.0
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,30,386.44172800000007,41.31069042316258,461.1859688195991,425.28841870824056,0.9771490750816104
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,31,311.56326400000006,44.31491712707182,296.5966850828729,390.09806629834253,0.9679144385026739
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,32,442.38540800000004,29.375486381322958,380.7928015564202,353.3249027237354,0.9652582159624413
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,33,215.16800000000003,31.5,246.942,405.974,0.9615384615384616
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,34,631.7332480000001,5.621934604904633,264.2731607629428,376.35149863760216,0.8827420324714371
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,35,415.2742400000001,20.576165803108807,351.4165803108808,366.46943005181345,0.9767206477732794
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,36,317.15763200000004,45.37313432835821,398.90909090909093,365.70963364993213,0.9735799207397622
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,37,291.76780800000006,64.45870206489676,282.7669616519174,342.07374631268436,0.9274965800273599
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,38,288.32512,42.65074626865672,300.62985074626863,384.08507462686566,0.9571428571428572
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,39,292.62848,42.52794117647059,313.86617647058824,376.7970588235294,0.9550561797752809
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,40,226.78707200000002,11.59392789373814,232.74762808349146,419.1290322580645,0.9444444444444444
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,41,232.38144000000003,19.314814814814813,271.46666666666664,417.93333333333334,0.940766550522648
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,42,270.251008,55.617834394904456,431.8487261146497,404.562101910828,0.9691358024691358
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,43,250.02521600000003,34.857142857142854,243.70567986230637,427.72805507745267,0.9401294498381878
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,44,212.58598400000002,30.506072874493928,368.3744939271255,394.248987854251,0.9285714285714286
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,45,246.15219200000004,61.80594405594405,229.979020979021,405.8356643356643,0.9645868465430018
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,46,222.48371200000003,29.506769825918763,424.15280464216636,393.91876208897486,0.941712204007286
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,47,151.90860800000002,0.0,255.92351274787535,375.3031161473088,0.8694581280788177
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,48,247.01286400000004,12.55226480836237,232.4198606271777,363.7177700348432,0.9487603305785124
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,49,205.70060800000002,46.11924686192469,252.34518828451883,439.5188284518828,0.9018867924528301
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,50,244.00051200000004,52.25044091710758,259.3809523809524,384.51851851851853,0.8338235294117647
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,51,249.59488000000002,70.30862068965517,223.84310344827585,366.1224137931035,0.9602649006622516
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,52,228.93875200000002,54.14661654135338,567.0827067669173,465.8646616541353,0.9016949152542372
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,53,225.06572800000004,76.63671128107075,221.82409177820267,363.07074569789677,0.9649446494464945
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,54,185.47481600000003,82.80046403712296,483.25986078886314,444.86078886310906,0.9751131221719458
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,55,209.14329600000002,29.320987654320987,276.4526748971193,378.6358024691358,0.9436893203883495
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,56,201.82758400000003,61.801705756929636,238.1727078891258,391.4818763326226,0.9342629482071714
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,57,211.72531200000003,11.34349593495935,293.9715447154472,413.7113821138211,0.9283018867924528
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,58,198.81523200000004,82.48701298701299,270.45887445887445,417.86147186147184,0.9645093945720251
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,59,212.155648,82.06288032454361,248.68559837728193,397.5233265720081,0.9499036608863198
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,60,384.29004800000007,39.51175811870101,468.47256438969765,399.29003359462484,0.9654054054054055
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,61,416.13491200000004,42.90589451913134,396.91830403309206,362.7383660806618,0.9728370221327968
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,62,8.606720000000001,0.0,218.7,325.8,0.9090909090909092
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,63,355.887872,56.81257557436518,382.0689238210399,344.62998790810155,0.9649941656942822
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,64,340.39577600000007,54.13527180783818,247.9013906447535,348.02275600505686,0.9658119658119659
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,65,258.20160000000004,72.82333333333334,291.77,414.39,0.8836524300441827
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,66,257.340928,82.52173913043478,264.994983277592,470.438127090301,0.8555078683834049
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,67,240.55782400000004,98.0,259.8783542039356,462.71019677996424,0.9604810996563574
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,68,190.63884800000002,114.57562076749436,266.4085778781038,539.313769751693,0.865234375
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,69,329.637376,61.37859007832898,422.0953002610966,389.5496083550914,0.9527363184079601
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,70,135.55584000000002,92.58412698412698,567.968253968254,602.7777777777778,0.9692307692307692
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,71,194.511872,84.7433628318584,244.18362831858408,437.70575221238937,0.856060606060606
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,72,301.66553600000003,16.293865905848786,458.14835948644793,423.31526390870187,0.9309428950863213
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,73,132.54348800000002,108.46428571428571,423.21753246753246,607.3863636363636,0.9840255591054313
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,74,283.161088,91.14133738601824,228.8449848024316,411.90273556231006,0.9306930693069306
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,75,248.30387200000004,116.92720970537262,338.9965337954939,463.65857885615253,0.9616666666666667
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,76,302.09587200000004,49.78632478632478,397.15527065527067,364.99002849002846,0.976356050069541
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,77,277.56672000000003,77.23875968992247,444.25891472868216,396.41550387596897,0.9626865671641791
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,78,315.00595200000004,28.99863387978142,409.801912568306,366.00409836065575,0.9669749009247028
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,79,294.349824,65.96052631578948,391.54824561403507,371.0891812865497,0.9647390691114244
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,80,435.0696960000001,62.95351137487636,355.00692383778437,370.47279920870426,0.9466292134831462
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,81,338.244096,65.15521628498728,324.2735368956743,324.9185750636132,0.9727722772277227
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,82,415.2742400000001,57.850777202072535,410.5616580310881,389.019689119171,0.9708249496981892
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,83,285.743104,72.41867469879519,380.22138554216866,370.37951807228916,0.9665211062590975
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,84,116.62105600000001,0.0,246.49446494464945,360.0590405904059,0.9644128113879004
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,85,237.97580800000003,66.84810126582279,528.6419529837251,482.3996383363472,0.9617391304347827
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,86,406.23718400000007,118.73834745762711,452.8167372881356,409.77648305084745,0.9701952723535457
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,87,400.21248,64.59247311827957,231.9010752688172,357.10752688172045,0.9657320872274142
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,88,1.2910080000000002,0.0,281.3333333333333,398.6666666666667,1.0
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,89,86.06720000000001,69.175,284.96,412.735,0.975609756097561
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,90,83.91552000000001,29.723076923076924,406.20512820512823,418.0051282051282,0.9241706161137442
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,91,43.463936000000004,235.86138613861385,509.44554455445547,440.96039603960395,0.9266055045871558
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,92,123.07609600000002,75.04895104895105,391.8881118881119,380.2692307692308,0.9694915254237289
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,1,37.439232000000004,0.0,273.3448275862069,241.183908045977,0.9255319148936171
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,2,1238.0766720000001,0.19151894334376085,252.37817170663885,272.3625304136253,0.9482531311799605
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,3,1806.980864,0.5520361990950227,380.1717075494165,320.91569421290785,0.965065502183406
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,4,853.3562880000001,0.49974785678265254,360.988401412002,327.50630358043367,0.9533653846153846
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,5,1804.8291840000002,1.5758226037195995,293.8910348116357,314.6998092513114,0.7571763856291749
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,6,4042.1460480000005,1.4397955924624721,271.47141488342385,323.7763227935697,0.7901244952893675
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,7,1818.5999360000003,1.2122574538570752,314.1211547562707,316.0814008518694,0.9257393209200439
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,8,1350.824704,1.0621216948072634,250.58904109589042,273.43676330041416,0.8892351274787534
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,9,2865.6074240000003,1.618411172848776,284.0379936927467,284.4433098062772,0.9352528089887641
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,10,1546.6275840000003,0.8483583750695604,411.88786867000556,394.1035058430718,0.9512969825304394
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,11,2405.5782400000003,2.4486583184257604,235.48890876565295,267.03345259391773,0.6927748172016359
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,12,332.64972800000004,2.77490297542044,232.75808538163002,270.71668822768436,0.7432692307692308
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,13,1874.9739520000003,3.163874225384439,304.3715859536378,334.7257287124168,0.9355808460382221
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,14,3256.3525120000004,2.0947535350865603,276.2414431082331,297.426060525968,0.9022296411112436
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,15,610.2164480000001,0.0,330.0655853314527,330.97743300423133,0.9607046070460705
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,16,1783.7427200000002,4.309529553679131,309.7384800965018,299.31917973462004,0.7087893296853626
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,17,2309.6133120000004,4.012670020495621,295.49860257126886,314.03279299422394,0.7212740223088294
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,18,2118.9744640000004,3.8753046303818035,271.22948822095856,301.28391551584076,0.6784238082116286
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,19,1637.8588160000002,4.2002101944298476,288.8528638991067,299.4802942722018,0.715010332519256
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,20,2973.6217600000004,2.1988422575976845,283.0697539797395,295.40477568740954,0.8313282001924928
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,21,3282.1726720000006,8.419168742624885,322.4722695686377,362.79139897731744,0.6624685138539044
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,22,2038.0712960000003,6.467483108108108,298.609375,331.3545185810811,0.7060226595110316
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,23,1973.0905600000003,6.128898582333697,288.8139585605235,301.5742639040349,0.9168166366726656
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,24,2361.2536320000004,6.708219427738291,313.20448332422086,313.4656460725351,0.9101011776414
cell-labels,plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,25,2344.4705280000003,5.49981644640235,269.6973201174743,298.95594713656385,0.9153225806451613
